country,ntype,latitude,lonitude,longitude
Albania,2,67.41374494593417,20.168331,43.591885517894106
Algeria,21,58.01385577996523,1.659626,2.9409930468454717
Angola,1,17.370427647957705,17.873887,26.380276610571137
Argentina,171,45.4148769116893,-63.616672,-128.48578870508987
Armenia,1,55.87881825285265,45.038189,93.50864382815213
Australia,2,-43.04358972826274,133.775136,288.7484994474463
Austria,13,74.91196745870647,14.550072,37.4884835221578
Bahamas,2,27.731014691904125,-77.39628,-150.14349243274762
Bahrain,1,41.59650180425825,50.637772,92.4810174103521
Barbados,1,26.38635748024684,-59.543198,-104.2354759668756
Belgium,6,80.17365038312823,4.469936,13.34933895622065
Bolivia,11,-1.6872727056626755,-63.588653,-106.05134142837545
Botswana,1,5.234302402647907,24.684866,36.331307921030216
Brazil,16,4.9290096691144765,-51.92528,-82.22515840856164
Bulgaria,1,66.8093152705078,25.48583,56.577990621444684
Canada,2,39.839620590153096,-106.346771,-201.11351492877418
Chile,43,-22.114963034615066,-71.542969,-125.15648191242924
China,2,24.0775448201469,104.195397,208.8670455449093
Colombia,226,11.765559854608028,-74.297333,-136.01342220704493
Costa Rica,10,11.552333700110122,-83.753428,-162.59680221525173
Cuba,41,24.591770680132164,-77.781167,-149.85665036997221
Cyprus,5,57.09610734524039,33.429859,65.33351407716692
Czechoslovakia,2,76.54599633744562,15.472962,43.20885868265726
Denmark,3,83.75460506938798,9.501785,40.44976986891654
Dominican Republic,12,26.030816523285296,-70.162651,-130.5917430292469
Ecuador,23,4.281860710787336,-78.183406,-145.1628553052529
Egypt,21,50.71598891207754,30.802498,54.888467132999665
El Salvador,103,12.464927834473192,-88.89653,-177.01678945679322
Ethiopia,5,30.868443690066382,40.489673,65.67394503888983
Finland,1,77.44077355854043,25.748151,108.77893984851438
France,179,76.16564472692656,2.213749,5.558191981565601
Germany,302,79.39978207339631,10.451526,31.667731900404345
Greece,55,64.98854626157849,21.824312,45.29408193034558
Guatemala,50,13.510489815747512,-90.230759,-180.6121055284734
Guyana,1,19.298537288577045,-58.93018,-99.94773436290077
Haiti,3,25.1768732021879,-72.285215,-135.7061192033262
Hong Kong,1,8.113341683374838,114.109497,237.4150887030319
India,13,23.217340976649087,78.96288,152.44412798427388
Indonesia,4,-12.39506526493576,113.921327,245.69239609508926
Iran,75,45.58717298107619,53.688046,103.43941224468279
Iraq,14,50.98651059844101,43.679291,84.00015415235289
Ireland,31,82.02102924332654,-8.24389,-28.665331379938518
Israel,173,52.95601143932173,34.851612,65.02411560085402
Italy,656,70.29531791213543,12.56738,27.744536426475577
Jamaica,2,21.943333935207836,-77.297508,-147.57904569595436
Japan,59,12.153052567231905,138.252924,277.15629694980146
Jordan,20,51.98269260324382,36.238414,67.38112803329689
Kenya,4,23.21314148471681,37.906193,59.174478936803354
Kuwait,1,45.94071876263412,47.481766,88.48686747209237
Lebanon,17,54.98122990908629,35.862285,69.08260549198143
Malawi,1,11.740669386414746,34.301525,51.70815254205851
Malaysia,3,-2.2858361938129446,101.975766,214.1471772888159
Mauritania,2,50.241641680872924,-10.940835,-18.242971237678464
Mexico,76,14.337655011268229,-102.552784,-210.23010648167516
Morocco,4,61.39999808654767,-7.09262,-13.147078672493299
Mozambique,2,6.219493569944656,35.529562,53.39898176339048
Myanmar,8,15.966622790756917,95.956223,194.74729376683388
Namibia,9,5.672142989095295,18.49041,27.012728635461
Netherlands,18,81.60290417032826,5.291266,17.224099468253925
New Zealand,1,-70.63885258621907,174.885971,352.520461777679
Nicaragua,132,13.506636747575605,-85.207229,-166.96740876051106
Nigeria,2,38.66627721377124,8.675277,13.475137318337831
North Korea,1,19.180052791973086,127.510093,251.46171211079758
Norway,1,85.77234648810256,8.468946,60.648415083250626
Pakistan,2,36.162364702446695,69.345116,134.65086579433626
Panama,2,11.992366682841093,-80.782127,-154.24707855129634
Paraguay,5,-5.9960926959312975,-58.443832,-94.54581976909199
Peru,11,-0.6124520905470611,-75.015152,-135.27977194421607
Philippines,47,-3.6475903993391925,121.774017,258.6991194386013
Poland,3,76.65922766752256,19.145136,57.01761145651136
Portugal,40,68.76220644954172,-8.224454,-17.24229133640626
Puerto Rico,31,27.35363309056448,-66.590149,-122.09734644757548
Russia,3,44.28834604411634,105.318756,196.48883746831504
Saudi Arabia,3,42.33734025431218,45.079162,80.23598929917945
Senegal,1,43.279541693971446,-14.452362,-23.143702992680115
Somalia,1,24.989083517865005,46.199616,74.93197799201106
South Africa,44,-2.5108226528058735,22.937506,33.679786714249836
South Korea,3,15.062783034239136,127.766922,256.4499546338796
Spain,635,70.32464908416613,-3.74922,-8.043568479008407
Sri Lanka,1,11.423229534915011,80.771797,154.09242959358983
Sweden,9,80.72632026212787,18.643501,87.72162091986054
Switzerland,13,75.96073927002561,8.227512,20.969043350788617
Syria,17,54.425615117042334,38.996815,76.0734218674057
Taiwan,1,6.461333929170624,120.960515,251.5754493845474
Thailand,8,8.343841994764448,100.992541,208.76659129224936
Tunisia,2,63.14971149895282,9.537499,18.200690363690843
Turkey,273,59.55262878833682,35.243322,72.57989024467525
United Arab Emirates,1,37.94692621188518,53.847818,97.4410095384491
United Kingdom,1,85.02816430931524,-3.435973,-14.28128761452013
United States,1824,28.85361410893491,-95.712891,-191.38208734410546
Uruguay,29,-13.204626051638439,-55.765835,-89.22178723889644
Venezuela,30,17.11560416839761,-66.58973,-117.51218197962707
Vietnam,2,3.3396574570694577,108.277199,227.54967089298165
Yemen,4,33.454782888133565,48.516388,82.80451381602741
Yugoslavia,27,13.517388823317708,27.849332,41.503442585891236
Zimbabwe,1,7.507407927696154,29.154857,43.280502449820915
